Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
selectOptionByValue,Chrome 70.0.3538.77,,2018-10-31 08:28:35,2018-10-31 08:28:35,0.218s,PASSED
selectOptionByValue,Chrome 70.0.3538.77,,2018-10-31 08:28:35,2018-10-31 08:28:46,10.734s,PASSED
selectOptionByValue,Chrome 70.0.3538.77,,2018-10-31 08:28:46,2018-10-31 08:28:46,0.352s,PASSED
click,Chrome 70.0.3538.77,,2018-10-31 08:28:46,2018-10-31 08:29:18,32.072s,FAILED
,,,,,,
Test Cases/Denvergov/Denvergov - SubdivisionSurveys,Chrome 70.0.3538.77,,2018-10-31 08:29:18,2018-10-31 08:29:21,2.790s,PASSED
navigateToUrl,Chrome 70.0.3538.77,,2018-10-31 08:29:18,2018-10-31 08:29:20,1.755s,PASSED
setText,Chrome 70.0.3538.77,,2018-10-31 08:29:20,2018-10-31 08:29:20,0.194s,PASSED
click,Chrome 70.0.3538.77,,2018-10-31 08:29:20,2018-10-31 08:29:21,0.509s,PASSED
click,Chrome 70.0.3538.77,,2018-10-31 08:29:21,2018-10-31 08:29:21,0.109s,PASSED
,,,,,,
Test Cases/Denvergov/Denvergov - RestaurantInspections,Chrome 70.0.3538.77,,2018-10-31 08:29:21,2018-10-31 08:29:23,2.095s,PASSED
navigateToUrl,Chrome 70.0.3538.77,,2018-10-31 08:29:21,2018-10-31 08:29:21,0.336s,PASSED
setText,Chrome 70.0.3538.77,,2018-10-31 08:29:21,2018-10-31 08:29:22,0.181s,PASSED
click,Chrome 70.0.3538.77,,2018-10-31 08:29:22,2018-10-31 08:29:22,0.855s,PASSED
click,Chrome 70.0.3538.77,,2018-10-31 08:29:22,2018-10-31 08:29:23,0.521s,PASSED
,,,,,,
Test Cases/Denvergov/Denvergov - Property,Chrome 70.0.3538.77,,2018-10-31 08:29:23,2018-10-31 08:29:26,2.890s,PASSED
navigateToUrl,Chrome 70.0.3538.77,,2018-10-31 08:29:23,2018-10-31 08:29:24,0.857s,PASSED
setText,Chrome 70.0.3538.77,,2018-10-31 08:29:24,2018-10-31 08:29:24,0.209s,PASSED
click,Chrome 70.0.3538.77,,2018-10-31 08:29:24,2018-10-31 08:29:24,0.100s,PASSED
click,Chrome 70.0.3538.77,,2018-10-31 08:29:24,2018-10-31 08:29:26,1.443s,PASSED
verifyElementPresent,Chrome 70.0.3538.77,,2018-10-31 08:29:26,2018-10-31 08:29:26,0.038s,PASSED
